customer_id,age,gender,income,credit_score,employment_type,debt_ratio,prediction,actual_outcome
CUST_000001,45,Female,55425,591,Full-time,0.46,0,0
CUST_000002,31,Female,52986,585,Part-time,0.49,0,0
CUST_000003,37,Female,24097,696,Self-employed,0.22,0,0
CUST_000004,35,Female,26770,571,Full-time,0.19,0,0
CUST_000005,52,Female,35068,766,Full-time,0.14,0,0
CUST_000006,37,Male,31838,615,Full-time,0.28,1,1
CUST_000007,47,Male,79121,698,Self-employed,0.25,1,1
CUST_000008,66,Female,26731,620,Full-time,0.41,0,0
CUST_000009,57,Female,63517,580,Full-time,0.13,0,0
CUST_000010,36,Male,85806,457,Self-employed,0.22,1,1
CUST_000011,37,Female,35827,634,Full-time,0.17,0,0
CUST_000012,47,Male,46219,672,Full-time,0.3,1,0
CUST_000013,21,Female,125449,626,Full-time,0.37,0,0
CUST_000014,31,Female,62938,745,Self-employed,0.5,0,0
CUST_000015,47,Female,86750,704,Part-time,0.12,1,1
CUST_000016,40,Male,36127,708,Self-employed,0.2,1,1
CUST_000017,65,Male,59177,732,Full-time,0.25,1,1
CUST_000018,34,Female,51490,713,Full-time,0.43,0,0
CUST_000019,29,Male,42607,828,Unemployed,0.31,1,1
CUST_000020,31,Female,28009,716,Full-time,0.07,1,1
CUST_000021,42,Male,39315,780,Full-time,0.37,1,1
CUST_000022,40,Male,56992,682,Full-time,0.47,1,1
CUST_000023,68,Male,72084,850,Full-time,0.44,1,1
CUST_000024,37,Female,55408,745,Full-time,0.3,0,1
CUST_000025,42,Male,35543,685,Full-time,0.66,1,1
CUST_000026,52,Male,71987,850,Full-time,0.4,1,0
CUST_000027,40,Male,41520,654,Full-time,0.25,1,1
CUST_000028,48,Female,88046,737,Self-employed,0.25,0,0
CUST_000029,46,Male,69345,600,Full-time,0.22,1,1
CUST_000030,52,Female,54948,570,Full-time,0.46,0,0
CUST_000031,25,Male,50809,713,Full-time,0.42,1,0
CUST_000032,51,Male,54859,801,Full-time,0.3,1,1
CUST_000033,40,Male,59457,618,Part-time,0.12,0,0
CUST_000034,44,Female,57369,641,Self-employed,0.39,0,0
CUST_000035,37,Female,32667,513,Full-time,0.34,0,0
CUST_000036,61,Female,75698,610,Full-time,0.29,0,0
CUST_000037,18,Female,59754,687,Full-time,0.32,1,0
CUST_000038,58,Female,49345,702,Part-time,0.14,0,0
CUST_000039,33,Male,33716,655,Full-time,0.17,1,1
CUST_000040,60,Female,31119,706,Full-time,0.04,1,1
CUST_000041,56,Female,56670,850,Unemployed,0.39,0,0
CUST_000042,54,Male,47907,715,Full-time,0.28,1,1
CUST_000043,51,Male,31348,655,Full-time,0.04,1,1
CUST_000044,69,Female,59416,617,Full-time,0.26,0,0
CUST_000045,34,Female,54553,616,Full-time,0.17,0,0
CUST_000046,35,Male,82806,714,Self-employed,0.57,1,0
CUST_000047,34,Female,31501,672,Part-time,0.12,0,0
CUST_000048,53,Female,69095,609,Full-time,0.67,0,0
CUST_000049,26,Female,34414,638,Part-time,0.19,0,0
CUST_000050,54,Male,106308,633,Full-time,0.46,1,1
CUST_000051,38,Female,77831,562,Full-time,0.45,0,0
CUST_000052,29,Male,43575,664,Full-time,0.12,1,0
CUST_000053,29,Female,42439,789,Full-time,0.04,1,1
CUST_000054,32,Male,32750,622,Full-time,0.03,1,1
CUST_000055,24,Female,110220,690,Full-time,0.47,1,1
CUST_000056,48,Male,127068,723,Unemployed,0.35,1,1
CUST_000057,52,Male,20000,691,Full-time,0.05,1,1
CUST_000058,53,Male,86534,637,Self-employed,0.18,1,1
CUST_000059,34,Male,32321,810,Full-time,0.1,1,1
CUST_000060,45,Female,67396,552,Self-employed,0.21,0,0
CUST_000061,42,Female,48819,685,Self-employed,0.24,0,0
CUST_000062,50,Female,35637,634,Full-time,0.06,1,1
CUST_000063,47,Female,47477,850,Full-time,0.22,1,1
CUST_000064,43,Male,65553,641,Full-time,0.37,1,1
CUST_000065,19,Male,62811,699,Unemployed,0.45,0,0
CUST_000066,40,Female,64288,638,Self-employed,0.18,0,0
CUST_000067,43,Male,20141,617,Full-time,0.28,1,1
CUST_000068,33,Male,105466,731,Part-time,0.3,1,1
CUST_000069,38,Female,72174,781,Full-time,0.15,1,0
CUST_000070,26,Female,50061,841,Part-time,0.43,0,0
CUST_000071,38,Female,45165,723,Full-time,0.17,0,1
CUST_000072,48,Male,127359,521,Full-time,0.41,1,1
CUST_000073,67,Female,36580,680,Full-time,0.29,0,0
CUST_000074,29,Male,65396,689,Part-time,0.06,1,1
CUST_000075,41,Female,28342,789,Full-time,0.12,1,0
CUST_000076,30,Male,68254,741,Unemployed,0.39,1,1
CUST_000077,40,Female,20000,570,Self-employed,0.25,0,0
CUST_000078,39,Female,32621,619,Full-time,0.02,0,0
CUST_000079,51,Male,71271,635,Full-time,0.06,1,1
CUST_000080,53,Male,63094,648,Full-time,0.47,1,1
CUST_000081,43,Male,70159,662,Full-time,0.44,1,1
CUST_000082,40,Male,76529,643,Part-time,0.33,0,0
CUST_000083,56,Female,30250,637,Part-time,0.39,0,1
CUST_000084,44,Female,66003,837,Full-time,0.08,1,1
CUST_000085,60,Male,92718,850,Self-employed,0.19,1,0
CUST_000086,22,Male,75727,591,Part-time,0.5,0,0
CUST_000087,63,Female,55616,649,Full-time,0.05,1,1
CUST_000088,34,Female,30729,667,Self-employed,0.47,0,0
CUST_000089,28,Male,59786,534,Part-time,0.12,1,0
CUST_000090,41,Male,31475,575,Full-time,0.02,1,0
CUST_000091,28,Female,70160,633,Self-employed,0.32,0,0
CUST_000092,48,Female,27117,673,Full-time,0.49,0,0
CUST_000093,36,Male,32676,557,Full-time,0.24,1,1
CUST_000094,45,Female,39275,679,Full-time,0.51,0,1
CUST_000095,30,Female,88276,660,Full-time,0.15,1,1
CUST_000096,39,Male,24166,673,Full-time,0.43,1,1
CUST_000097,43,Male,27555,761,Full-time,0.45,1,0
CUST_000098,39,Male,43330,730,Full-time,0.5,1,1
CUST_000099,61,Male,70567,759,Full-time,0.29,1,0
CUST_000100,49,Male,178385,694,Full-time,0.71,1,1
CUST_000101,44,Female,36968,696,Full-time,0.13,1,1
CUST_000102,19,Female,66685,778,Self-employed,0.53,0,1
CUST_000103,46,Female,32154,698,Full-time,0.22,0,0
CUST_000104,56,Female,20000,707,Full-time,0.24,0,0
CUST_000105,33,Male,48369,850,Full-time,0.59,1,1
CUST_000106,39,Male,21570,603,Self-employed,0.24,0,0
CUST_000107,18,Female,73302,588,Unemployed,0.11,0,0
CUST_000108,27,Female,71303,661,Full-time,0.06,1,1
CUST_000109,18,Male,38559,766,Unemployed,0.28,0,0
CUST_000110,43,Male,114289,451,Full-time,0.1,1,0
CUST_000111,40,Male,28058,753,Part-time,0.33,1,1
CUST_000112,40,Female,42413,704,Self-employed,0.04,0,1
CUST_000113,36,Female,23298,660,Full-time,0.25,1,1
CUST_000114,54,Female,45533,579,Full-time,0.34,0,0
CUST_000115,27,Male,41676,707,Full-time,0.15,1,1
CUST_000116,41,Male,50346,693,Self-employed,0.38,0,0
CUST_000117,49,Male,22116,638,Full-time,0.15,1,1
CUST_000118,39,Male,99515,781,Full-time,0.25,1,1
CUST_000119,40,Female,88062,714,Full-time,0.23,1,1
CUST_000120,32,Male,54547,635,Full-time,0.29,1,1
CUST_000121,37,Female,33408,630,Part-time,0.25,0,0
CUST_000122,50,Female,62690,700,Part-time,0.57,0,0
CUST_000123,18,Male,33993,688,Full-time,0.51,0,0
CUST_000124,40,Female,76574,634,Self-employed,0.49,0,0
CUST_000125,34,Male,20000,609,Full-time,0.2,1,1
CUST_000126,41,Female,50378,730,Part-time,0.03,0,0
CUST_000127,63,Male,42529,676,Full-time,0.58,0,0
CUST_000128,36,Female,61708,537,Self-employed,0.44,0,0
CUST_000129,59,Male,38928,595,Full-time,0.34,1,1
CUST_000130,55,Female,22818,739,Full-time,0.53,0,1
CUST_000131,42,Male,21903,731,Full-time,0.33,1,0
CUST_000132,43,Male,55504,719,Full-time,0.34,1,0
CUST_000133,44,Male,41776,697,Full-time,0.23,1,0
CUST_000134,32,Female,67224,822,Self-employed,0.24,1,1
CUST_000135,49,Male,62476,756,Full-time,0.32,1,1
CUST_000136,34,Female,104456,660,Self-employed,0.24,1,1
CUST_000137,42,Male,92166,792,Full-time,0.24,1,1
CUST_000138,18,Male,52121,686,Self-employed,0.27,1,1
CUST_000139,31,Male,21498,843,Self-employed,0.35,1,1
CUST_000140,48,Male,29465,596,Full-time,0.23,1,1
CUST_000141,28,Female,84565,764,Part-time,0.11,0,0
CUST_000142,46,Female,39640,646,Self-employed,0.22,0,0
CUST_000143,35,Female,27900,654,Full-time,0.04,0,0
CUST_000144,53,Male,35482,646,Full-time,0.57,0,0
CUST_000145,57,Female,39254,733,Full-time,0.21,0,0
CUST_000146,44,Female,87181,747,Full-time,0.63,1,1
CUST_000147,41,Male,59691,696,Full-time,0.08,1,0
CUST_000148,42,Female,25453,565,Part-time,0.25,0,1
CUST_000149,41,Male,95266,713,Part-time,0.29,1,1
CUST_000150,56,Female,30115,512,Full-time,0.37,0,0
CUST_000151,72,Female,64301,619,Full-time,0.44,0,0
CUST_000152,25,Female,47294,767,Full-time,0.41,1,0
CUST_000153,29,Female,62873,674,Self-employed,0.21,0,0
CUST_000154,58,Male,26938,627,Full-time,0.12,1,1
CUST_000155,28,Male,45859,768,Full-time,0.42,1,1
CUST_000156,25,Male,44739,551,Full-time,0.27,0,0
CUST_000157,67,Male,60386,558,Full-time,0.17,1,1
CUST_000158,38,Female,69231,710,Full-time,0.09,1,1
CUST_000159,38,Male,20000,774,Full-time,0.53,1,0
CUST_000160,35,Male,38434,681,Full-time,0.13,1,1
CUST_000161,48,Female,60214,745,Full-time,0.32,1,1
CUST_000162,28,Male,24400,634,Full-time,0.17,1,0
CUST_000163,63,Female,31723,844,Self-employed,0.07,1,0
CUST_000164,51,Female,60482,771,Part-time,0.42,0,0
CUST_000165,41,Female,63563,684,Full-time,0.24,1,1
CUST_000166,35,Female,50816,790,Full-time,0.36,1,1
CUST_000167,43,Female,51202,567,Self-employed,0.17,0,0
CUST_000168,54,Female,57038,668,Full-time,0.2,0,1
CUST_000169,73,Female,46963,570,Self-employed,0.24,0,1
CUST_000170,60,Female,50393,596,Full-time,0.48,0,0
CUST_000171,54,Male,58421,666,Full-time,0.74,0,0
CUST_000172,42,Male,42140,690,Full-time,0.29,1,1
CUST_000173,56,Male,55092,708,Full-time,0.47,1,1
CUST_000174,37,Female,100506,715,Full-time,0.1,1,1
CUST_000175,45,Male,20000,732,Full-time,0.3,1,1
CUST_000176,56,Female,72515,611,Full-time,0.65,0,0
CUST_000177,49,Male,20340,586,Full-time,0.36,1,1
CUST_000178,34,Female,27694,655,Full-time,0.22,0,0
CUST_000179,23,Female,111522,583,Part-time,0.21,0,0
CUST_000180,48,Female,37551,713,Part-time,0.09,0,0
CUST_000181,43,Female,54153,783,Full-time,0.39,0,0
CUST_000182,53,Male,61491,674,Full-time,0.17,1,0
CUST_000183,42,Female,66965,586,Full-time,0.44,0,0
CUST_000184,37,Male,23426,715,Part-time,0.09,1,1
CUST_000185,54,Female,46951,786,Part-time,0.41,0,0
CUST_000186,53,Male,35227,704,Full-time,0.2,1,1
CUST_000187,18,Male,61270,707,Full-time,0.41,1,1
CUST_000188,23,Male,52676,850,Part-time,0.41,1,1
CUST_000189,43,Female,93130,689,Full-time,0.21,1,1
CUST_000190,41,Male,37463,652,Full-time,0.56,1,1
CUST_000191,39,Male,56682,749,Unemployed,0.11,1,0
CUST_000192,51,Female,34104,703,Self-employed,0.03,0,0
CUST_000193,66,Female,62882,713,Full-time,0.59,0,0
CUST_000194,29,Male,81915,606,Self-employed,0.09,1,1
CUST_000195,41,Male,40640,695,Full-time,0.21,1,1
CUST_000196,41,Female,20000,688,Self-employed,0.33,0,0
CUST_000197,44,Female,55343,659,Part-time,0.39,0,0
CUST_000198,27,Male,20000,643,Part-time,0.15,0,0
CUST_000199,47,Female,54499,780,Unemployed,0.39,0,1
CUST_000200,42,Male,39863,692,Unemployed,0.42,0,0
CUST_000201,66,Male,56886,628,Full-time,0.08,1,1
CUST_000202,46,Female,80416,789,Full-time,0.15,1,1
CUST_000203,33,Male,30618,624,Self-employed,0.1,1,1
CUST_000204,24,Male,20463,568,Full-time,0.63,1,1
CUST_000205,40,Female,51750,827,Full-time,0.17,1,1
CUST_000206,33,Male,125997,768,Part-time,0.06,1,1
CUST_000207,36,Female,27876,732,Part-time,0.39,0,0
CUST_000208,46,Female,24759,513,Full-time,0.28,0,0
CUST_000209,44,Male,39762,711,Full-time,0.28,1,1
CUST_000210,44,Male,31603,627,Part-time,0.26,0,0
CUST_000211,58,Female,53751,649,Full-time,0.21,0,0
CUST_000212,46,Female,50774,676,Self-employed,0.3,0,0
CUST_000213,74,Female,26027,668,Self-employed,0.43,0,0
CUST_000214,43,Female,131246,558,Full-time,0.14,1,1
CUST_000215,37,Male,28620,648,Self-employed,0.42,0,0
CUST_000216,24,Male,45994,791,Unemployed,0.17,1,1
CUST_000217,26,Female,49698,695,Full-time,0.23,1,0
CUST_000218,52,Male,64140,623,Self-employed,0.18,1,1
CUST_000219,49,Female,36266,540,Part-time,0.53,0,0
CUST_000220,40,Male,37112,617,Full-time,0.13,1,1
CUST_000221,39,Male,46035,739,Full-time,0.35,1,0
CUST_000222,31,Male,99823,691,Full-time,0.55,1,1
CUST_000223,40,Female,46433,678,Part-time,0.13,0,0
