customer_id,age,gender,income,credit_score,employment_type,debt_ratio,prediction,actual_outcome
CUST_000001,32,Female,56315,714,Self-employed,0.16,1,0
CUST_000002,57,Male,58744,585,Full-time,0.31,1,0
CUST_000003,56,Female,33927,672,Full-time,0.34,1,0
CUST_000004,22,Male,82197,701,Part-time,0.31,1,1
CUST_000005,24,Female,66428,800,Full-time,0.42,1,1
CUST_000006,21,Male,55333,718,Full-time,0.31,1,1
CUST_000007,64,Male,53090,671,Unemployed,0.46,0,0
CUST_000008,43,Male,51487,516,Full-time,0.58,0,0
CUST_000009,41,Female,51538,641,Full-time,0.4,1,0
CUST_000010,48,Male,42316,638,Full-time,0.32,1,1
CUST_000011,30,Female,46324,666,Part-time,0.3,1,1
CUST_000012,39,Male,20000,607,Full-time,0.46,0,0
CUST_000013,27,Male,26482,583,Full-time,0.65,0,0
CUST_000014,49,Male,33762,648,Unemployed,0.67,0,0
CUST_000015,30,Female,48119,615,Full-time,1.0,0,0
CUST_000016,46,Female,31508,673,Full-time,0.29,1,0
CUST_000017,54,Female,36017,596,Full-time,0.16,1,1
CUST_000018,40,Male,23383,586,Self-employed,0.13,1,0
CUST_000019,51,Female,20066,675,Full-time,0.24,1,1
CUST_000020,27,Female,70066,638,Self-employed,0.86,0,0
CUST_000021,27,Male,51635,681,Part-time,0.05,1,1
CUST_000022,44,Female,97809,579,Full-time,0.31,1,0
CUST_000023,39,Female,51608,666,Full-time,0.36,1,1
CUST_000024,25,Male,47857,641,Full-time,0.1,1,1
CUST_000025,36,Male,36043,703,Self-employed,0.31,1,1
CUST_000026,56,Female,20000,636,Self-employed,0.3,0,0
CUST_000027,33,Male,68084,607,Full-time,0.41,1,1
CUST_000028,42,Female,42199,670,Self-employed,0.36,1,1
CUST_000029,37,Female,46754,507,Self-employed,0.55,0,0
CUST_000030,44,Male,52024,704,Unemployed,0.58,0,0
CUST_000031,46,Male,20000,615,Part-time,0.4,1,1
CUST_000032,49,Male,62392,677,Full-time,0.42,1,1
CUST_000033,48,Female,53736,800,Full-time,0.54,1,0
CUST_000034,51,Female,35224,664,Full-time,0.17,1,1
CUST_000035,47,Female,20000,678,Self-employed,0.43,1,0
CUST_000036,44,Male,81477,597,Full-time,0.06,1,1
CUST_000037,35,Female,20704,670,Part-time,0.28,0,0
CUST_000038,18,Female,81911,722,Full-time,0.16,1,1
CUST_000039,37,Male,20000,705,Part-time,0.64,0,1
CUST_000040,32,Female,81118,571,Full-time,0.97,0,0
CUST_000041,33,Male,49931,556,Self-employed,0.41,0,0
CUST_000042,21,Male,47825,510,Full-time,0.17,0,0
CUST_000043,51,Male,80257,740,Full-time,0.32,1,1
CUST_000044,19,Female,25267,621,Part-time,0.38,0,0
CUST_000045,47,Male,29466,620,Full-time,0.46,1,1
CUST_000046,39,Male,45836,578,Part-time,0.31,1,1
CUST_000047,47,Male,37447,703,Full-time,0.62,1,1
CUST_000048,52,Male,42976,751,Full-time,0.13,1,1
CUST_000049,66,Male,35828,638,Unemployed,0.14,1,1
CUST_000050,58,Male,57042,636,Self-employed,0.23,1,1
CUST_000051,54,Female,20000,504,Full-time,0.22,1,0
CUST_000052,59,Male,20000,654,Part-time,0.17,1,0
CUST_000053,42,Male,37774,766,Self-employed,0.36,1,1
CUST_000054,43,Female,70600,603,Full-time,0.05,1,1
CUST_000055,36,Male,26696,670,Self-employed,0.66,0,0
CUST_000056,45,Female,41395,567,Full-time,0.71,0,0
CUST_000057,55,Male,37275,520,Full-time,0.2,1,0
CUST_000058,41,Male,87797,745,Full-time,0.38,1,1
CUST_000059,41,Male,31389,558,Part-time,0.26,0,0
CUST_000060,34,Male,73073,520,Unemployed,0.44,0,0
CUST_000061,61,Female,24767,572,Part-time,0.47,0,0
CUST_000062,42,Male,27131,684,Unemployed,0.25,0,0
CUST_000063,48,Male,63900,522,Full-time,0.14,1,1
CUST_000064,39,Female,32358,537,Full-time,0.26,0,1
CUST_000065,47,Male,73625,576,Part-time,0.1,1,1
CUST_000066,20,Male,29153,573,Full-time,0.28,1,1
CUST_000067,43,Male,59389,669,Part-time,0.25,1,1
CUST_000068,34,Male,74887,524,Full-time,0.12,1,1
CUST_000069,57,Female,34078,538,Full-time,0.31,1,1
CUST_000070,51,Female,20000,546,Full-time,0.13,1,1
CUST_000071,38,Male,20000,799,Part-time,0.44,1,1
CUST_000072,33,Male,83366,630,Full-time,0.46,1,0
CUST_000073,30,Male,40896,480,Full-time,0.53,0,0
CUST_000074,48,Male,64708,519,Full-time,0.54,0,1
CUST_000075,33,Male,22635,520,Self-employed,0.2,0,0
CUST_000076,62,Male,55196,646,Unemployed,0.11,0,1
CUST_000077,29,Male,70179,581,Self-employed,0.13,1,1
CUST_000078,34,Male,28958,716,Part-time,0.1,1,0
CUST_000079,29,Male,33879,493,Self-employed,0.36,0,0
CUST_000080,24,Female,34124,597,Full-time,0.23,1,1
CUST_000081,46,Male,30126,705,Full-time,0.28,1,1
CUST_000082,32,Male,46889,745,Full-time,0.47,1,1
CUST_000083,55,Female,25972,643,Self-employed,0.22,1,1
CUST_000084,42,Male,93093,800,Full-time,0.23,1,1
CUST_000085,19,Female,33807,705,Full-time,0.44,1,1
CUST_000086,31,Female,74260,650,Full-time,0.13,1,1
CUST_000087,41,Female,23366,447,Full-time,0.71,0,1
CUST_000088,56,Male,32785,680,Full-time,0.6,1,0
CUST_000089,35,Female,20557,610,Full-time,0.13,1,1
CUST_000090,37,Female,41007,613,Full-time,0.6,1,1
CUST_000091,23,Female,28883,666,Full-time,0.54,1,1
CUST_000092,56,Male,24011,619,Full-time,0.4,1,1
CUST_000093,18,Male,27160,590,Unemployed,0.42,0,0
CUST_000094,44,Male,39158,673,Self-employed,0.54,0,0
CUST_000095,41,Male,36584,615,Full-time,0.08,1,1
CUST_000096,45,Male,41848,659,Full-time,0.22,1,0
CUST_000097,49,Female,20000,493,Full-time,0.28,0,0
CUST_000098,54,Male,80415,692,Unemployed,0.6,0,0
CUST_000099,42,Male,56140,602,Self-employed,0.3,0,0
CUST_000100,20,Male,26440,702,Full-time,0.32,1,1
CUST_000101,60,Female,67258,667,Full-time,0.44,1,1
CUST_000102,34,Male,158118,622,Full-time,0.17,1,1
CUST_000103,52,Male,49232,674,Part-time,0.24,1,0
CUST_000104,38,Female,51895,632,Part-time,0.56,1,1
CUST_000105,50,Male,29336,582,Full-time,0.83,0,0
CUST_000106,41,Female,54493,645,Part-time,0.56,0,1
CUST_000107,36,Female,28614,627,Part-time,0.67,0,1
CUST_000108,52,Female,24886,674,Full-time,0.48,1,1
CUST_000109,18,Male,53237,555,Self-employed,0.25,1,0
CUST_000110,37,Male,36732,606,Full-time,0.04,1,1
CUST_000111,41,Male,20000,658,Full-time,0.23,1,0
CUST_000112,45,Male,37162,547,Full-time,0.2,1,0
CUST_000113,34,Female,20000,640,Full-time,0.3,1,1
CUST_000114,18,Male,30720,666,Part-time,0.38,0,0
CUST_000115,45,Female,34058,687,Full-time,0.32,1,1
CUST_000116,27,Male,55947,690,Full-time,0.2,1,0
CUST_000117,48,Male,20000,731,Full-time,0.59,1,0
CUST_000118,45,Female,32487,642,Self-employed,0.5,0,0
CUST_000119,41,Male,65739,534,Full-time,0.23,1,1
CUST_000120,59,Male,20120,452,Part-time,0.41,0,0
CUST_000121,55,Male,33651,572,Full-time,0.47,0,0
CUST_000122,28,Male,89670,690,Full-time,0.5,1,1
CUST_000123,19,Male,21883,577,Part-time,0.43,0,0
CUST_000124,57,Female,87006,525,Unemployed,0.34,0,0
CUST_000125,68,Female,20000,599,Self-employed,0.22,0,0
CUST_000126,32,Female,48337,583,Part-time,0.43,0,1
CUST_000127,44,Male,52982,722,Full-time,0.22,1,1
CUST_000128,29,Male,20000,608,Part-time,0.61,0,0
CUST_000129,33,Male,22951,766,Full-time,0.32,1,1
CUST_000130,75,Female,31280,543,Full-time,0.18,1,1
CUST_000131,46,Male,41621,644,Self-employed,0.18,1,1
CUST_000132,42,Female,60117,614,Full-time,0.2,1,1
CUST_000133,43,Female,26432,562,Self-employed,0.55,0,0
CUST_000134,26,Female,26710,633,Part-time,0.52,0,0
CUST_000135,46,Female,95455,606,Full-time,0.1,1,1
CUST_000136,63,Female,24529,583,Part-time,0.42,0,0
CUST_000137,59,Male,51715,625,Full-time,0.38,1,1
CUST_000138,35,Male,41983,704,Full-time,0.2,1,1
CUST_000139,31,Male,27471,677,Full-time,0.25,1,1
CUST_000140,49,Male,40029,629,Full-time,0.25,1,1
CUST_000141,42,Female,53761,584,Full-time,0.44,1,1
CUST_000142,40,Female,64759,670,Full-time,0.34,1,1
CUST_000143,32,Male,55736,596,Full-time,0.44,1,1
CUST_000144,51,Male,29017,699,Full-time,0.56,0,0
CUST_000145,42,Female,20000,627,Full-time,0.32,1,1
CUST_000146,41,Female,20000,525,Part-time,0.04,0,0
CUST_000147,42,Male,56824,680,Full-time,0.24,1,1
CUST_000148,46,Female,20048,526,Full-time,0.73,0,1
CUST_000149,29,Male,64584,780,Part-time,0.24,1,1
CUST_000150,29,Male,34299,714,Full-time,0.22,1,1
CUST_000151,18,Female,78022,689,Full-time,0.29,1,1
CUST_000152,45,Female,46091,547,Unemployed,0.24,0,0
CUST_000153,64,Male,87465,749,Self-employed,0.67,1,1
CUST_000154,54,Female,54363,616,Part-time,0.26,1,1
CUST_000155,41,Female,40595,532,Full-time,0.32,1,1
CUST_000156,28,Female,25261,501,Part-time,0.1,0,1
CUST_000157,37,Male,71715,758,Self-employed,0.22,1,1
CUST_000158,33,Male,42823,677,Full-time,0.14,1,1
CUST_000159,45,Female,37774,577,Full-time,0.28,1,1
CUST_000160,38,Male,56145,690,Full-time,0.13,1,0
CUST_000161,46,Male,20000,610,Unemployed,0.38,0,0
CUST_000162,36,Male,80516,525,Full-time,0.22,1,1
CUST_000163,25,Male,61130,706,Full-time,0.79,1,0
CUST_000164,62,Female,30980,688,Full-time,0.34,1,1
CUST_000165,25,Female,28282,461,Full-time,0.36,0,0
CUST_000166,26,Female,47792,646,Self-employed,0.47,0,0
CUST_000167,32,Male,52105,625,Full-time,0.37,0,0
CUST_000168,34,Male,36023,651,Part-time,0.14,1,1
CUST_000169,51,Male,40495,660,Unemployed,0.07,1,0
CUST_000170,46,Female,51361,502,Part-time,0.3,0,0
CUST_000171,36,Male,41623,626,Full-time,0.23,1,1
CUST_000172,47,Female,42807,580,Full-time,0.2,1,1
CUST_000173,68,Male,46535,603,Full-time,0.36,1,1
CUST_000174,46,Male,86276,683,Full-time,0.12,1,0
CUST_000175,44,Female,76165,635,Full-time,0.38,1,0
CUST_000176,50,Female,20000,647,Full-time,0.43,1,1
CUST_000177,31,Male,20000,535,Unemployed,0.34,0,0
CUST_000178,75,Female,68088,748,Full-time,0.28,1,0
CUST_000179,60,Female,131723,565,Self-employed,0.34,1,1
CUST_000180,35,Female,23676,669,Full-time,0.62,1,1
CUST_000181,48,Female,34623,569,Part-time,0.6,0,1
CUST_000182,18,Male,33287,630,Part-time,0.18,1,1
CUST_000183,45,Female,46798,584,Full-time,0.88,0,1
CUST_000184,42,Male,71539,594,Full-time,0.3,1,1
CUST_000185,46,Female,30049,690,Full-time,0.34,1,1
CUST_000186,34,Male,53595,697,Part-time,0.65,0,0
CUST_000187,55,Female,30161,594,Part-time,0.29,1,1
CUST_000188,30,Female,77089,645,Full-time,0.4,1,1
CUST_000189,56,Female,39319,603,Self-employed,0.11,1,1
CUST_000190,37,Female,42673,612,Part-time,0.2,1,1
CUST_000191,19,Male,61341,564,Full-time,0.16,1,1
CUST_000192,35,Female,39539,581,Full-time,0.44,1,1
CUST_000193,63,Male,71020,655,Full-time,0.54,1,1
CUST_000194,22,Male,40749,608,Full-time,0.4,0,0
CUST_000195,29,Female,57036,570,Full-time,0.56,1,1
CUST_000196,45,Male,101683,681,Full-time,0.2,1,1
CUST_000197,29,Female,46469,566,Full-time,0.25,1,0
CUST_000198,36,Male,63405,718,Full-time,0.19,1,1
CUST_000199,32,Male,57051,565,Self-employed,0.29,1,1
CUST_000200,49,Male,20000,742,Full-time,0.02,1,1
CUST_000201,38,Male,63070,729,Full-time,0.06,1,1
CUST_000202,56,Female,37972,641,Full-time,0.2,1,1
CUST_000203,22,Male,52178,691,Full-time,0.38,1,0
CUST_000204,59,Female,20000,536,Full-time,0.28,0,0
CUST_000205,51,Female,34097,664,Full-time,0.58,0,0
CUST_000206,44,Female,170000,684,Part-time,0.22,1,1
CUST_000207,46,Male,66368,617,Self-employed,0.52,0,0
CUST_000208,35,Male,53557,632,Part-time,0.26,1,0
CUST_000209,30,Female,25075,540,Full-time,0.08,1,1
CUST_000210,62,Female,34587,529,Full-time,0.2,1,1
CUST_000211,40,Female,24875,700,Full-time,0.43,1,1
CUST_000212,27,Male,78363,490,Full-time,0.19,1,1
CUST_000213,47,Female,42770,583,Full-time,0.55,1,1
CUST_000214,44,Female,21136,566,Full-time,0.36,0,0
CUST_000215,51,Male,163078,687,Full-time,0.48,1,0
CUST_000216,36,Male,44375,549,Full-time,0.2,1,1
CUST_000217,30,Male,30603,541,Full-time,0.64,0,0
CUST_000218,28,Male,54242,678,Full-time,0.49,1,1
CUST_000219,28,Female,34465,572,Full-time,0.14,0,0
CUST_000220,49,Female,25752,769,Full-time,0.65,1,1
CUST_000221,47,Female,45141,571,Full-time,0.32,1,1
CUST_000222,52,Female,57520,718,Full-time,0.72,1,1
CUST_000223,47,Female,99964,514,Full-time,0.31,1,0
CUST_000224,35,Female,20000,602,Full-time,0.04,1,1
CUST_000225,69,Female,48850,625,Full-time,0.34,1,1
CUST_000226,39,Male,40240,591,Full-time,0.5,1,1
CUST_000227,20,Female,37058,746,Full-time,0.28,1,1
CUST_000228,51,Male,20000,640,Full-time,0.32,0,0
CUST_000229,37,Female,33621,544,Part-time,0.19,1,1
CUST_000230,38,Female,32895,646,Full-time,0.26,1,0
CUST_000231,39,Male,128667,552,Full-time,0.64,1,0
CUST_000232,45,Male,69112,672,Self-employed,0.38,1,1
CUST_000233,27,Female,38267,504,Full-time,0.25,0,0
CUST_000234,36,Female,54787,645,Full-time,0.4,1,1
CUST_000235,41,Female,56926,576,Unemployed,0.25,0,0
CUST_000236,57,Male,20000,610,Full-time,0.16,1,1
CUST_000237,31,Male,20000,631,Full-time,0.59,0,1
CUST_000238,34,Female,52033,799,Full-time,0.01,1,1
CUST_000239,56,Male,36173,525,Part-time,0.44,0,0
CUST_000240,49,Male,61546,670,Full-time,0.29,1,1
CUST_000241,43,Male,33551,642,Full-time,0.23,1,1
CUST_000242,33,Male,68436,611,Full-time,0.29,1,1
CUST_000243,54,Male,23674,706,Full-time,0.31,1,1
CUST_000244,41,Female,118491,654,Full-time,0.31,1,1
CUST_000245,42,Female,39394,663,Full-time,0.5,1,1
CUST_000246,42,Female,70716,578,Self-employed,0.22,1,1
CUST_000247,43,Female,60227,650,Full-time,0.52,1,1
CUST_000248,51,Male,42150,636,Full-time,0.36,1,1
CUST_000249,38,Female,26995,449,Full-time,0.61,0,0
CUST_000250,18,Male,20000,514,Full-time,0.28,0,0
CUST_000251,37,Male,35140,683,Full-time,0.35,0,0
CUST_000252,41,Female,27296,724,Full-time,0.55,1,1
CUST_000253,43,Male,29787,725,Full-time,0.34,1,1
CUST_000254,33,Female,53066,624,Part-time,0.26,0,1
CUST_000255,25,Female,24106,705,Full-time,0.23,1,1
CUST_000256,48,Male,37950,516,Full-time,0.31,1,1
CUST_000257,50,Female,49233,482,Self-employed,0.72,0,1
CUST_000258,21,Female,42299,694,Unemployed,0.54,0,0
CUST_000259,38,Female,31397,619,Full-time,0.28,1,0
CUST_000260,32,Female,67123,734,Full-time,0.36,1,0
CUST_000261,45,Male,31548,660,Full-time,0.3,1,1
CUST_000262,37,Female,46148,558,Part-time,0.29,0,1
CUST_000263,23,Male,45303,574,Full-time,0.41,1,1
CUST_000264,55,Female,52751,700,Part-time,0.25,1,0
CUST_000265,47,Male,42103,678,Full-time,0.38,1,0
CUST_000266,36,Male,41489,600,Full-time,0.26,1,0
CUST_000267,29,Male,21301,704,Full-time,0.72,0,0
CUST_000268,27,Male,36071,530,Full-time,0.2,1,1
CUST_000269,38,Female,113871,742,Full-time,0.29,1,1
CUST_000270,18,Female,42154,669,Unemployed,0.24,1,1
CUST_000271,62,Male,28860,534,Full-time,0.74,0,1
CUST_000272,33,Female,53111,627,Part-time,0.34,0,0
CUST_000273,41,Female,49113,471,Self-employed,0.36,0,1
CUST_000274,36,Female,49719,519,Full-time,0.13,1,0
CUST_000275,44,Female,88026,441,Full-time,0.04,1,1
CUST_000276,52,Male,28718,681,Full-time,0.04,1,1
CUST_000277,18,Male,38554,613,Full-time,0.4,0,0
CUST_000278,50,Male,38289,599,Full-time,0.22,1,0
CUST_000279,40,Female,38351,790,Part-time,0.24,1,1
CUST_000280,54,Female,50521,707,Self-employed,0.54,0,1
CUST_000281,46,Female,20000,692,Full-time,0.58,0,0
CUST_000282,23,Male,29907,645,Full-time,0.22,1,1
CUST_000283,27,Male,72131,536,Full-time,0.43,1,1
CUST_000284,56,Female,33391,674,Full-time,0.06,1,1
CUST_000285,51,Female,27892,550,Full-time,0.2,1,1
CUST_000286,38,Female,34334,688,Full-time,0.62,1,1
CUST_000287,49,Male,53420,710,Full-time,0.38,1,1
CUST_000288,34,Female,27577,635,Full-time,0.48,1,1
CUST_000289,53,Male,23932,567,Full-time,0.47,1,1
CUST_000290,38,Female,36675,688,Full-time,0.34,1,1
CUST_000291,32,Female,20696,606,Full-time,0.01,1,1
CUST_000292,43,Male,89309,564,Full-time,0.12,1,1
CUST_000293,39,Male,31643,731,Full-time,0.46,1,1
CUST_000294,47,Male,68898,694,Part-time,0.1,1,1
CUST_000295,36,Male,56196,718,Full-time,0.06,1,0
CUST_000296,40,Female,23031,569,Self-employed,0.19,0,1
CUST_000297,72,Female,46663,677,Full-time,0.28,1,1
CUST_000298,53,Male,20000,512,Full-time,0.43,0,1
CUST_000299,38,Female,70134,703,Self-employed,0.12,1,1
CUST_000300,44,Male,49063,625,Full-time,0.36,1,0
CUST_000301,28,Female,34565,525,Full-time,0.43,1,0
CUST_000302,59,Female,23709,722,Full-time,0.13,1,1
CUST_000303,39,Male,92095,681,Full-time,0.35,1,1
CUST_000304,54,Male,20000,628,Part-time,0.44,0,0
CUST_000305,53,Female,30826,530,Full-time,0.5,1,0
CUST_000306,52,Male,49288,555,Full-time,0.2,1,1
CUST_000307,52,Female,53842,719,Self-employed,0.35,1,1
CUST_000308,53,Female,26977,561,Unemployed,0.23,0,0
CUST_000309,66,Female,69244,572,Full-time,0.2,1,1
CUST_000310,47,Male,51428,552,Full-time,0.35,1,1
CUST_000311,47,Male,42597,771,Full-time,0.3,1,1
CUST_000312,18,Male,55490,686,Full-time,0.04,1,0
CUST_000313,34,Female,52006,593,Part-time,0.47,0,1
CUST_000314,27,Male,20000,571,Full-time,0.78,0,0
